URL,Version,Status,OIDs,Name,Title,Description,Used
http://doh.gov.ph/fhir/ph-core/CodeSystem/indigenous-groups-cs,0.2.0,draft,,IndigenousGroupsCS,Indigenous Groups CodeSystem,"A list of codes representing the recognized indigenous groups in the Philippines to which a person may belong.","ValueSet/indigenous-groups-vs"
http://doh.gov.ph/fhir/ph-core/CodeSystem/ph-core-disability-type-cs,0.2.0,draft,,PHCoreDisabilityTypeCS,PH Core Disability Type Code System,"Code system for types of disability as defined by the Philippine government for PWD registration.","ValueSet/ph-core-disability-type-vs"
http://terminology.hl7.org/CodeSystem/provenance-participant-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.1131",ProvenanceParticipantType,Provenance participant type,"The type of participation a provenance participant.","ValueSet/provenance-agent-type"
http://terminology.hl7.org/CodeSystem/v2-0131,2.9,active,"2.16.840.1.113883.18.58",v2.0131,v2 Contact Role,"FHIR Value set/code system definition for HL7 v2 table 0131 ( Contact Role)","ValueSet/relatedperson-relationshiptype"
http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,2018-08-12,active,"2.16.840.1.113883.5.2",v3.MaritalStatus,v3 Code System MaritalStatus," * * * No description supplied * * *  Open Issue:  The specific meanings of these codes can vary somewhat by jurisdiction and implementation so caution should be used when determining equivalency.","ValueSet/marital-status"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,2018-08-12,active,"2.16.840.1.113883.5.1008",v3.NullFlavor,v3 Code System NullFlavor," A collection of codes specifying why a valid value is not present.","ValueSet/marital-status"
http://terminology.hl7.org/CodeSystem/v3-Race,2018-08-12,active,"2.16.840.1.113883.5.104",v3.Race,v3 Code System Race," In the United States, federal standards for classifying data on race determine the categories used by federal agencies and exert a strong influence on categorization by state and local agencies and private sector organizations.  The federal standards do not conceptually define race, and they recognize the absence of an anthropological or scientific basis for racial classification.  Instead, the federal standards acknowledge that race is a social-political construct in which an individual's own identification with one more race categories is preferred to observer identification. The standards use a variety of features to define five minimum race categories. Among these features are descent from ""the original peoples"" of a specified region or nation.  The minimum race categories are American Indian or Alaska Native, Asian, Black or African American, Native Hawaiian or Other Pacific Islander, and White.  The federal standards stipulate that race data need not be limited to the five minimum categories, but any expansion must be collapsible to those categories.","ValueSet/v3-Race"
http://terminology.hl7.org/CodeSystem/v3-RoleCode,2018-08-12,active,"2.16.840.1.113883.5.111",v3.RoleCode,v3 Code System RoleCode," A set of codes further specifying the kind of Role; specific classification codes for further qualifying RoleClass codes.","ValueSet/relatedperson-relationshiptype"
https://psa.gov.ph/classification/psced/level,0.2.0,draft,,PSCED,Mock PSCED,"Mock of the Philippine Standard Classification of Education.","ValueSet/educational-attainments"
https://psa.gov.ph/classification/psgc,0.2.0,draft,,PSGC,Mock PSGC,"Mock of the Philippine Standard Geographic Code.","ValueSet/regions,ValueSet/provinces,ValueSet/barangays,ValueSet/cities"
https://psa.gov.ph/classification/psoc/unit,0.2.0,draft,,PSOC,Mock PSOC,"Mock of the Philippine Standard Occupational Classification.","ValueSet/occupational-classifications"
https://verification.fda.gov.ph,0.2.0,active,,PHFDACPRCS,PH FDA Certificate of Product Registration (CPR) CodeSystem,"Registered drug products from the Philippine Food and Drug Administration (FDA)","ValueSet/drugs-vs"
