Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.ph.core.json	42755	-	0	0	0	0	0	0	16	195	0	0	0	0	1	0	0	1	0	0	171	172	0	0	0	15	0	3
fsh-generated/resources/ActorDefinition-Consumer.json	663	2	0	0	1	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	13	31	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-Creator.json	644	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Server.json	659	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	10	43	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergy-single-example.json	1667	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	11	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-example-allergy.json	732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0
fsh-generated/resources/Bundle-transaction-example.json	13775	7	31	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	19	38	0	0	0	0	0	0
fsh-generated/resources/Claim-claim-single-example.json	3547	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	20	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PHFDACPRCS.json	5190	2	0	0	1	0	1	0	1	10	0	0	1	0	0	0	0	0	0	0	14	126	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-PSCED.json	888	1	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	7	58	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-PSGC.json	2392	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	92	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PSOC.json	901	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	6	53	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-indigenous-groups-cs.json	2604	2	0	0	0	0	0	0	1	48	0	0	0	0	1	0	0	0	0	0	12	68	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ph-core-disability-type-cs.json	2044	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	42	0	0	0	1	0	0
fsh-generated/resources/Condition-condition-single-example.json	1535	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0	0	0	0	0	0
fsh-generated/resources/Condition-example-condition.json	740	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0
